GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.ui,FilmLibraryApp,275,66,14,10,65,15,18,5,9,2
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.ui,FilmLibraryDashboard,324,0,6,0,69,0,14,0,11,0
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.command,SimpleLibraryCommand,0,16,0,0,0,7,0,3,0,3
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,UpdateGenereDto,0,6,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,FilmResponseDto,0,30,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,UpdateFilmDto,0,21,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,CreateFilmDto,0,21,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,CreateRegistaDto,0,9,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,UpdateRegistaDto,0,9,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,CreateGenereDto,0,6,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,GenereResponseDto,0,9,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.dto,RegistaResponseDto,0,15,0,0,0,1,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco,Main,6,0,0,0,3,0,2,0,2,0
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.repository.db,DatabaseFilmRepository,831,36,22,6,185,11,26,6,14,4
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.ui.dashboard,FilmFormData,24,0,0,0,1,0,1,0,1,0
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.ui.dashboard,FilmLibraryDashboardController,301,80,24,0,74,21,19,6,7,6
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.ui.dashboard,FilmFormDialog,205,0,20,0,41,0,12,0,2,0
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.ui.dashboard,FilmLibraryCommandFactory,0,74,0,0,0,9,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.builder,ConcreteFilmBuilder,44,109,4,8,11,41,5,12,1,10
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.builder,FilmDirector,0,24,0,0,0,9,0,2,0,2
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.strategy,SortByValutazioneStrategy,0,13,0,0,0,4,0,2,0,2
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.strategy,SortByTitoloStrategy,0,13,0,0,0,4,0,2,0,2
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.strategy,SortByAnnoStrategy,0,12,0,0,0,4,0,2,0,2
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.strategy,SortByRegistaStrategy,0,20,0,0,0,6,0,3,0,3
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.strategy,FilmSortContext,0,15,0,0,0,6,0,3,0,3
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.strategy,SortByStatoVisioneStrategy,0,36,0,0,0,11,0,4,0,4
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.infrastructure,NoteFilmStorage,0,290,3,27,0,54,3,20,0,8
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.infrastructure,DatabaseConnectionManager,118,0,14,0,30,0,13,0,6,0
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.infrastructure,DatabaseFilmStorage,175,42,13,5,38,19,12,5,4,4
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.domain,Film,0,63,0,0,0,24,0,9,0,9
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.domain,StatoVisione,0,34,0,0,0,4,0,1,0,1
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.domain,Regista,39,33,4,2,6,10,6,5,3,5
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.domain,Genere,35,17,3,1,6,7,5,3,3,3
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.service,FilmLibraryService,0,80,0,0,0,16,0,9,0,9
progettoids_giuseppedemarco,com.progettoids_giuseppedemarco.repository.inmemory,InMemoryFilmRepository,0,77,1,3,0,17,1,7,0,6
